	input_form	input_syll	input_des	output_form	output_syll	output_des	input_index	output_index	change_sequences
8749	ciopată	cio.p'a.tă	ă	ciopăți	cio.p'ăți	i	65574	65568	^/^ c/c i/i o/o p/p 'a/'ă t/ț $/$
8750	coeficient	co.e.fi.ci.'ent		coeficienți	co.e.fi.ci.'enți	i	69465	69469	^/^ c/c o/o e/e f/f i/i c/c i/i 'e/'e n/n t/ț $/$
8751	strigăt	str'i.găt		strigăte	str'i.gă.te	e	279352	279353	^/^ s/s t/t r/r 'i/'i g/g ă/ă t/t $/$
8752	electroglotospectrografie	e.lec.tro.glo.tos.pec.tro.gra.f'i.e	e	electroglotospectrografii	e.lec.tro.glo.tos.pec.tro.gra.f'ii	i	114501	114503	^/^ e/e l/l e/e c/c t/t r/r o/o g/g l/l o/o t/t o/o s/s p/p e/e c/c t/t r/r o/o g/g r/r a/a f/f 'i/'i $/$
8753	pajiște	p'a.jiș.te	e	pajiști	p'a.jiști	i	211298	211301	^/^ p/p 'a/'a j/j i/i ș/ș t/t $/$
8754	bogată	bo.g'a.tă	ă	bogate	bo.g'a.te	e	49933	49913	^/^ b/b o/o g/g 'a/'a t/t $/$
8755	obiectiv	o.biec.t'iv		obiective	o.biec.t'i.ve	e	203168	203197	^/^ o/o b/b i/i e/e c/c t/t 'i/'i v/v $/$
8756	schimbător	schim.bă.t'or		schimbătoare	schim.bă.to'a.re	e	263062	263054	^/^ s/s c/c h/h i/i m/m b/b ă/ă t/t 'o/o'a r/r $/$
8757	superorticon	su.pe.ror.ti.c'on		superorticoane	su.pe.ror.ti.co'a.ne	e	283618	283615	^/^ s/s u/u p/p e/e r/r o/o r/r t/t i/i c/c 'o/o'a n/n $/$
8758	urât	u.r'ât		urâți	u.r'âți	i	302331	302284	^/^ u/u r/r 'â/'â t/ț $/$
8759	reșițean	re.și.țe'an		reșițeni	re.și.ț'eni	i	243166	243184	^/^ r/r e/e ș/ș i/i ț/ț e'a/'e n/n $/$
8760	tovarășă	to.v'a.ră.șă	ă	tovarășe	to.v'a.ră.șe	e	293041	293028	^/^ t/t o/o v/v 'a/'a r/r ă/ă ș/ș $/$
8761	oprire	o.pr'i.re	e	opriri	o.pr'iri	i	206914	206917	^/^ o/o p/p r/r 'i/'i r/r $/$
8762	rentabilitate	ren.ta.bi.li.t'a.te	e	rentabilități	ren.ta.bi.li.t'ăți	i	250657	250659	^/^ r/r e/e n/n t/t a/a b/b i/i l/l i/i t/t 'a/'ă t/ț $/$
8763	crescătorie	cres.că.to.r'i.e	e	crescătorii	cres.că.to.r'ii	i	83357	83361	^/^ c/c r/r e/e s/s c/c ă/ă t/t o/o r/r 'i/'i $/$
8764	monotrem	mo.no.tr'em		monotreme	mo.no.tr'e.me	e	181821	181822	^/^ m/m o/o n/n o/o t/t r/r 'e/'e m/m $/$
8765	salcie	s'al.ci.e	e	sălcii	s'ăl.cii	i	260969	259697	^/^ s/s 'a/'ă l/l c/c i/i $/$
8766	salcie	s'al.ci.e	e	salcii	s'al.cii	i	260969	260971	^/^ s/s 'a/'a l/l c/c i/i $/$
8767	blândețe	blân.d'e.țe	e	blândeți	blân.d'eți	i	49577	49581	^/^ b/b l/l â/â n/n d/d 'e/'e ț/ț $/$
8768	fluture	fl'u.tu.re	e	fluturi	fl'u.turi	i	129059	129064	^/^ f/f l/l 'u/'u t/t u/u r/r $/$
8769	fluture	fl'u.tu.re	e	fluturii	fl'u.tu.rii	i	129059	129065	^/^ f/f l/l 'u/'u t/t u/u r/r 0/i $/$
8770	sameș	s'a.meș		sameși	s'a.meși	i	261374	261375	^/^ s/s 'a/'a m/m e/e ș/ș $/$
8771	mausoleu	mau.so.l'eu	u	mausolee	mau.so.l'e.e	e	173743	173740	^/^ m/m a/a u/u s/s o/o l/l 'e/'e $/$
8772	adolescent	a.do.les.c'ent		adolescenți	a.do.les.c'enți	i	22496	22536	^/^ a/a d/d o/o l/l e/e s/s c/c 'e/'e n/n t/ț $/$
8773	zbilț	zb'ilț		zbilțuri	zb'il.țuri	uri	311265	311268	^/^ z/z b/b 'i/'i l/l ț/ț $/$
8774	eră	'e.ră	ă	ere	'e.re	e	116852	116932	^/^ 'e/'e r/r $/$
8775	esență	e.s'en.ță	ă	esențe	e.s'en.țe	e	117540	117516	^/^ e/e s/s 'e/'e n/n ț/ț $/$
8776	sfială	sfi.'a.lă	ă	sfieli	sfi.'eli	i	268181	268243	^/^ s/s f/f i/i 'a/'e l/l $/$
8777	voluntar	vo.lun.t'ar		voluntari	vo.lun.t'ari	i	308574	308582	^/^ v/v o/o l/l u/u n/n t/t 'a/'a r/r $/$
8778	balamuc	ba.la.m'uc		balamucuri	ba.la.m'u.curi	uri	45326	45329	^/^ b/b a/a l/l a/a m/m 'u/'u c/c $/$
8779	sesterț	ses.t'erț		sesterți	ses.t'erți	i	267684	267685	^/^ s/s e/e s/s t/t 'e/'e r/r ț/ț $/$
8780	intrigă	'in.tri.gă	ă	intrigi	'in.trigi	i	156730	156785	^/^ 'i/'i n/n t/t r/r i/i g/g $/$
8781	lostriță	l'os.tri.ță	ă	lostrițe	l'os.tri.țe	e	167795	167790	^/^ l/l 'o/'o s/s t/t r/r i/i ț/ț $/$
8782	civilizație	ci.vi.li.z'a.ți.e	e	civilizații	ci.vi.li.z'a.ții	i	66726	66729	^/^ c/c i/i v/v i/i l/l i/i z/z 'a/'a ț/ț i/i $/$
8783	bitang	bi.t'ang		bitangi	bi.t'angi	i	48806	48807	^/^ b/b i/i t/t 'a/'a n/n g/g $/$
8784	singurătate	sin.gu.ră.t'a.te	e	singurătăți	sin.gu.ră.t'ăți	i	270476	270479	^/^ s/s i/i n/n g/g u/u r/r ă/ă t/t 'a/'ă t/ț $/$
8785	erou	e.r'ou	u	eroi	e.r'oi	i	117201	117136	^/^ e/e r/r 'o/'o $/$
8786	comando	co.m'an.do		comandouri	co.m'an.do.uri	uri	70785	70796	^/^ c/c o/o m/m 'a/'a n/n d/d o/o $/$
8787	sicilian	si.ci.li.'an		sicilieni	si.ci.li.'eni	i	268915	268931	^/^ s/s i/i c/c i/i l/l i/i 'a/'e n/n $/$
8788	taur	t'a.ur		tauri	t'a.uri	i	288373	288374	^/^ t/t 'a/'a u/u r/r $/$
8789	solie	so.l'i.e	e	solii	so.l'ii	i	273116	273119	^/^ s/s o/o l/l 'i/'i $/$
8790	submarin	sub.ma.r'in		submarine	sub.ma.r'i.ne	e	281288	281292	^/^ s/s u/u b/b m/m a/a r/r 'i/'i n/n $/$
8791	coerență	co.e.r'en.ță	ă	coerențe	co.e.r'en.țe	e	69501	69492	^/^ c/c o/o e/e r/r 'e/'e n/n ț/ț $/$
8792	imam	i.m'am		imami	i.m'ami	i	146735	146739	^/^ i/i m/m 'a/'a m/m $/$
8793	autorizat	a.u.to.ri.z'at		autorizați	a.u.to.ri.z'ați	i	42363	42386	^/^ a/a u/u t/t o/o r/r i/i z/z 'a/'a t/ț $/$
8794	muncă	m'un.că	ă	munci	m'unci	i	183623	183638	^/^ m/m 'u/'u n/n c/c $/$
8795	relaționare	re.la.ți.o.n'a.re	e	relaționări	re.la.ți.o.n'ări	i	249402	249431	^/^ r/r e/e l/l a/a ț/ț i/i o/o n/n 'a/'ă r/r $/$
8796	angrenaj	an.gre.n'aj		angrenaje	an.gre.n'a.je	e	30908	30909	^/^ a/a n/n g/g r/r e/e n/n 'a/'a j/j $/$
8797	făget	fă.g'et		făgete	fă.g'e.te	e	123135	123136	^/^ f/f ă/ă g/g 'e/'e t/t $/$
8798	foxtrot	f'ox.trot		foxtroturi	f'ox.tro.turi	uri	130711	130714	^/^ f/f 'o/'o x/x t/t r/r o/o t/t $/$
8799	purtător	pur.tă.t'or		purtători	pur.tă.t'ori	i	238059	238061	^/^ p/p u/u r/r t/t ă/ă t/t 'o/'o r/r $/$
8800	anemie	a.ne.m'i.e	e	anemii	a.ne.m'ii	i	30490	30492	^/^ a/a n/n e/e m/m 'i/'i $/$
8801	titrat	ti.tr'at		titrați	ti.tr'ați	i	291873	291896	^/^ t/t i/i t/t r/r 'a/'a t/ț $/$
8802	altitudine	al.ti.t'u.di.ne	e	altitudini	al.ti.t'u.dini	i	27336	27338	^/^ a/a l/l t/t i/i t/t 'u/'u d/d i/i n/n $/$
8803	destituire	des.ti.tu.'i.re	e	destituiri	des.ti.tu.'iri	i	100071	100073	^/^ d/d e/e s/s t/t i/i t/t u/u 'i/'i r/r $/$
8804	arădeancă	a.ră.de'an.că	ă	arădence	a.ră.d'en.ce	e	34973	34977	^/^ a/a r/r ă/ă d/d e'a/'e n/n c/c $/$
8805	născut	năs.c'ut		născuți	năs.c'uți	i	186014	186040	^/^ n/n ă/ă s/s c/c 'u/'u t/ț $/$
8806	bagaj	ba.g'aj		bagaje	ba.g'a.je	e	45073	45074	^/^ b/b a/a g/g 'a/'a j/j $/$
8807	zeflemea	ze.fle.me'a		zeflemele	ze.fle.m'e.le	le	312020	312022	^/^ z/z e/e f/f l/l e/e m/m e'a/'e $/$
8808	avansat	a.van.s'at		avansați	a.van.s'ați	i	42784	42813	^/^ a/a v/v a/a n/n s/s 'a/'a t/ț $/$
8809	acord	a.c'ord		acorduri	a.c'or.duri	uri	20397	20454	^/^ a/a c/c 'o/'o r/r d/d $/$
8810	igienizare	i.gi.e.ni.z'a.re	e	igienizări	i.gi.e.ni.z'ări	i	146125	146155	^/^ i/i g/g i/i e/e n/n i/i z/z 'a/'ă r/r $/$
8811	car	c'ar		care	c'a.re	e	58833	59260	^/^ c/c 'a/'a r/r $/$
8812	car	c'ar		cari	c'ari	i	58833	59325	^/^ c/c 'a/'a r/r $/$
8813	car	c'ar		caruri	c'a.ruri	uri	58833	59721	^/^ c/c 'a/'a r/r $/$
8814	dâldoră	d'âl.do.ră	ă	dâldore	d'âl.do.re	e	112174	112169	^/^ d/d 'â/'â l/l d/d o/o r/r $/$
8815	vecernie	ve.c'er.ni.e	e	vecernii	ve.c'er.nii	i	304579	304581	^/^ v/v e/e c/c 'e/'e r/r n/n i/i $/$
8816	șoim	ș'oim		șoimi	ș'oimi	i	1863	1871	^/^ ș/ș 'o/'o i/i m/m $/$
8817	pulbere	p'ul.be.re	e	pulberi	p'ul.beri	i	237505	237507	^/^ p/p 'u/'u l/l b/b e/e r/r $/$
8818	strănepoată	stră.ne.po'a.tă	ă	strănepoate	stră.ne.po'a.te	e	278799	278794	^/^ s/s t/t r/r ă/ă n/n e/e p/p o'a/o'a t/t $/$
8819	carență	ca.r'en.ță	ă	carențe	ca.r'en.țe	e	59300	59288	^/^ c/c a/a r/r 'e/'e n/n ț/ț $/$
8820	puciognă	pu.ci'og.nă	ă	puciogne	pu.ci'og.ne	e	237239	237234	^/^ p/p u/u c/c i/i 'o/'o g/g n/n $/$
8821	surplus	sur.pl'us		surplusuri	sur.pl'u.suri	uri	285474	285477	^/^ s/s u/u r/r p/p l/l 'u/'u s/s $/$
8822	renegociere	re.ne.go.ci.'e.re	e	renegocieri	re.ne.go.ci.'eri	i	250576	250578	^/^ r/r e/e n/n e/e g/g o/o c/c i/i 'e/'e r/r $/$
8823	culcat	cul.c'at		culcaturi	cul.ca.t'uri	uri	85486	85500	^/^ c/c u/u l/l c/c 'a/a t/t $/$
8824	cruciuliță	cru.ciu.l'i.ță	ă	cruciulițe	cru.ciu.l'i.țe	e	84461	84455	^/^ c/c r/r u/u c/c i/i u/u l/l 'i/'i ț/ț $/$
8825	sovietică	so.vi.'e.ti.că	ă	sovietice	so.vi.'e.ti.ce	e	273780	273768	^/^ s/s o/o v/v i/i 'e/'e t/t i/i c/c $/$
8826	pitpalac	pit.pa.l'ac		pitpalaci	pit.pa.l'aci	i	220141	220142	^/^ p/p i/i t/t p/p a/a l/l 'a/'a c/c $/$
8827	miliardar	mi.li.ar.d'ar		miliardari	mi.li.ar.d'ari	i	177507	177514	^/^ m/m i/i l/l i/i a/a r/r d/d 'a/'a r/r $/$
8828	echilibristă	e.chi.li.br'is.tă	ă	echilibriste	e.chi.li.br'is.te	e	112619	112599	^/^ e/e c/c h/h i/i l/l i/i b/b r/r 'i/'i s/s t/t $/$
8829	mică	m'i.că	ă	mice	m'i.ce	e	176761	176818	^/^ m/m 'i/'i c/c $/$
8830	veste	v'es.te	e	vești	v'ești	i	305743	304558	^/^ v/v 'e/'e s/ș t/t $/$
8831	răsărit	ră.să.r'it		răsărituri	ră.să.r'i.turi	uri	239735	239763	^/^ r/r ă/ă s/s ă/ă r/r 'i/'i t/t $/$
8832	caporal	ca.po.r'al		caporali	ca.po.r'ali	i	58536	58537	^/^ c/c a/a p/p o/o r/r 'a/'a l/l $/$
8833	sarafan	sa.ra.f'an		sarafane	sa.ra.f'a.ne	e	261674	261675	^/^ s/s a/a r/r a/a f/f 'a/'a n/n $/$
8834	găină	gă.'i.nă	ă	găini	gă.'ini	i	134048	134041	^/^ g/g ă/ă 'i/'i n/n $/$
8835	supratopire	su.pra.to.p'i.re	e	supratopiri	su.pra.to.p'iri	i	284800	284802	^/^ s/s u/u p/p r/r a/a t/t o/o p/p 'i/'i r/r $/$
8836	simțire	sim.ț'i.re	e	simțiri	sim.ț'iri	i	269592	269595	^/^ s/s i/i m/m ț/ț 'i/'i r/r $/$
8837	pensiune	pen.si.'u.ne	e	pensiuni	pen.si.'uni	i	216039	216042	^/^ p/p e/e n/n s/s i/i 'u/'u n/n $/$
8838	sare	s'a.re	e	săruri	s'ă.ruri	uri	261773	260288	^/^ s/s 'a/'ă r/r $/$
8839	clovn	cl'ovn		clovni	cl'ovni	i	68318	68326	^/^ c/c l/l 'o/'o v/v n/n $/$
8840	prismatoid	pris.ma.to.'id		prismatoide	pris.ma.to.'i.de	e	232118	232119	^/^ p/p r/r i/i s/s m/m a/a t/t o/o 'i/'i d/d $/$
8841	cadran	ca.dr'an		cadrane	ca.dr'a.ne	e	56539	56540	^/^ c/c a/a d/d r/r 'a/'a n/n $/$
8842	zavistnicie	za.vist.ni.c'i.e	e	zavistnicii	za.vist.ni.c'ii	i	310991	310993	^/^ z/z a/a v/v i/i s/s t/t n/n i/i c/c 'i/'i $/$
8843	materie	ma.t'e.ri.e	e	materii	ma.t'e.rii	i	173384	173386	^/^ m/m a/a t/t 'e/'e r/r i/i $/$
8844	stabiliment	sta.bi.li.m'ent		stabilimente	sta.bi.li.m'en.te	e	276571	276572	^/^ s/s t/t a/a b/b i/i l/l i/i m/m 'e/'e n/n t/t $/$
8845	cișmegiu	ciș.me.g'iu	iu	cișmegii	ciș.me.g'ii	ii	64583	64580	^/^ c/c i/i ș/ș m/m e/e g/g $/$
8846	balaur	ba.l'a.ur		balauri	ba.l'a.uri	i	45403	45404	^/^ b/b a/a l/l 'a/'a u/u r/r $/$
8847	degenerat	de.ge.ne.r'at		degenerați	de.ge.ne.r'ați	i	93423	93449	^/^ d/d e/e g/g e/e n/n e/e r/r 'a/'a t/ț $/$
8848	troahnă	tro'ah.nă	ă	troahne	tro'ah.ne	e	296758	296752	^/^ t/t r/r o'a/o'a h/h n/n $/$
8849	vocație	vo.c'a.ți.e	e	vocații	vo.c'a.ții	i	308240	308242	^/^ v/v o/o c/c 'a/'a ț/ț i/i $/$
8850	martin	mar.t'in		martini	mar.t'ini	i	172871	172872	^/^ m/m a/a r/r t/t 'i/'i n/n $/$
8851	responsabilă	res.pon.s'a.bi.lă	ă	responsabile	res.pon.s'a.bi.le	e	252755	252762	^/^ r/r e/e s/s p/p o/o n/n s/s 'a/'a b/b i/i l/l $/$
8852	durabilitate	du.ra.bi.li.t'a.te	e	durabilități	du.ra.bi.li.t'ăți	i	111982	111984	^/^ d/d u/u r/r a/a b/b i/i l/l i/i t/t 'a/'ă t/ț $/$
8853	clinci	cl'inci		clinciuri	cl'in.ciuri	uri	67930	67941	^/^ c/c l/l 'i/'i n/n c/c i/i $/$
8854	export	ex.p'ort		exporturi	ex.p'or.turi	uri	121557	121621	^/^ e/e x/x p/p 'o/'o r/r t/t $/$
8855	namestnic	na.m'est.nic		namestnici	na.m'est.nici	i	186610	186611	^/^ n/n a/a m/m 'e/'e s/s t/t n/n i/i c/c $/$
8856	sfințire	sfin.ț'i.re	e	sfințiri	sfin.ț'iri	i	268350	268352	^/^ s/s f/f i/i n/n ț/ț 'i/'i r/r $/$
8857	colapsoterapie	co.lap.so.te.ra.p'i.e	e	colapsoterapii	co.lap.so.te.ra.p'ii	i	69937	69939	^/^ c/c o/o l/l a/a p/p s/s o/o t/t e/e r/r a/a p/p 'i/'i $/$
8858	dialect	di.a.l'ect		dialecte	di.a.l'ec.te	e	104312	104313	^/^ d/d i/i a/a l/l 'e/'e c/c t/t $/$
8859	spurcăciune	spur.că.ci'u.ne	e	spurcăciuni	spur.că.ci'uni	i	276039	276042	^/^ s/s p/p u/u r/r c/c ă/ă c/c i/i 'u/'u n/n $/$
8860	slipmetru	slip.m'e.tru	u	slipmetre	slip.m'e.tre	e	271442	271439	^/^ s/s l/l i/i p/p m/m 'e/'e t/t r/r $/$
8861	sufragerie	su.fra.ge.r'i.e	e	sufragerii	su.fra.ge.r'ii	i	282758	282760	^/^ s/s u/u f/f r/r a/a g/g e/e r/r 'i/'i $/$
8862	silvicultor	sil.vi.cul.t'or		silvicultori	sil.vi.cul.t'ori	i	269535	269536	^/^ s/s i/i l/l v/v i/i c/c u/u l/l t/t 'o/'o r/r $/$
8863	oboseală	o.bo.se'a.lă	ă	oboseli	o.bo.s'eli	i	203485	203490	^/^ o/o b/b o/o s/s e'a/'e l/l $/$
8864	sidef	si.d'ef		sidefuri	si.d'e.furi	uri	268983	268998	^/^ s/s i/i d/d 'e/'e f/f $/$
8865	cântăreață	cân.tă.re'a.ță	ă	cântărețe	cân.tă.r'e.țe	e	88109	88116	^/^ c/c â/â n/n t/t ă/ă r/r e'a/'e ț/ț $/$
8866	feerie	fe.e.r'i.e	e	feerii	fe.e.r'ii	i	125192	125194	^/^ f/f e/e e/e r/r 'i/'i $/$
8867	atletism	a.tle.t'ism		atletisme	a.tle.t'is.me	e	39651	39652	^/^ a/a t/t l/l e/e t/t 'i/'i s/s m/m $/$
8868	aheean	a.he.e'an		aheeni	a.he.'eni	i	25065	25069	^/^ a/a h/h e/e e'a/'e n/n $/$
8869	noutate	no.u.t'a.te	e	noutăți	no.u.t'ăți	i	202060	202062	^/^ n/n o/o u/u t/t 'a/'ă t/ț $/$
8870	hatmanie	hat.ma.n'i.e	e	hatmanii	hat.m'a.nii	i	141656	141658	^/^ h/h a/a t/t m/m a/'a n/n 'i/i $/$
8871	turnătorie	tur.nă.to.r'i.e	e	turnătorii	tur.nă.to.r'ii	i	298403	298407	^/^ t/t u/u r/r n/n ă/ă t/t o/o r/r 'i/'i $/$
8872	zgârcită	zgâr.c'i.tă	ă	zgârcite	zgâr.c'i.te	e	312550	312536	^/^ z/z g/g â/â r/r c/c 'i/'i t/t $/$
8873	jelanie	je.l'a.ni.e	e	jelanii	je.l'a.nii	i	160590	160592	^/^ j/j e/e l/l 'a/'a n/n i/i $/$
8874	lacoviște	la.co.v'iș.te	e	lacoviști	la.co.v'iști	i	163206	163208	^/^ l/l a/a c/c o/o v/v 'i/'i ș/ș t/t $/$
8875	aviator	a.vi.a.t'or		aviatori	a.vi.a.t'ori	i	43194	43195	^/^ a/a v/v i/i a/a t/t 'o/'o r/r $/$
8876	târșuț	târ.ș'uț		târșuți	târ.ș'uți	i	298980	298981	^/^ t/t â/â r/r ș/ș 'u/'u ț/ț $/$
8877	preferans	pre.fe.r'ans		preferansuri	pre.fe.r'an.suri	uri	228531	228535	^/^ p/p r/r e/e f/f e/e r/r 'a/'a n/n s/s $/$
8878	învârtejire	în.vâr.te.j'i.re	e	învârtejiri	în.vâr.te.j'iri	i	330407	330409	^/^ î/î n/n v/v â/â r/r t/t e/e j/j 'i/'i r/r $/$
8879	țurluit	țur.lu.'it		țurluituri	țur.lu.'i.turi	uri	4373	4376	^/^ ț/ț u/u r/r l/l u/u 'i/'i t/t $/$
8880	apicultură	a.pi.cul.t'u.ră	ă	apiculturi	a.pi.cul.t'uri	i	33792	33787	^/^ a/a p/p i/i c/c u/u l/l t/t 'u/'u r/r $/$
8881	străbun	stră.b'un		străbuni	stră.b'uni	i	278480	278488	^/^ s/s t/t r/r ă/ă b/b 'u/'u n/n $/$
8882	concordie	con.c'or.di.e	e	concordii	con.c'or.dii	i	73961	73963	^/^ c/c o/o n/n c/c 'o/'o r/r d/d i/i $/$
8883	os	'os		oase	o'a.se	e	208493	202810	^/^ 'o/o'a s/s $/$
8884	diagnostician	di.ag.nos.ti.ci.'an		diagnosticieni	di.ag.nos.ti.ci.'eni	i	104270	104274	^/^ d/d i/i a/a g/g n/n o/o s/s t/t i/i c/c i/i 'a/'e n/n $/$
8885	hexastil	he.xa.st'il		hexastiluri	he.xa.st'i.luri	uri	142210	142214	^/^ h/h e/e x/x a/a s/s t/t 'i/'i l/l $/$
8886	necropolă	ne.cr'o.po.lă	ă	necropole	ne.cr'o.po.le	e	189179	189173	^/^ n/n e/e c/c r/r 'o/'o p/p o/o l/l $/$
8887	inviolabilitate	in.vi.o.la.bi.li.t'a.te	e	inviolabilități	in.vi.o.la.bi.li.t'ăți	i	157799	157801	^/^ i/i n/n v/v i/i o/o l/l a/a b/b i/i l/l i/i t/t 'a/'ă t/ț $/$
8888	transmitere	trans.m'i.te.re	e	transmiteri	trans.m'i.teri	i	294504	294506	^/^ t/t r/r a/a n/n s/s m/m 'i/'i t/t e/e r/r $/$
8889	fertilizare	fer.ti.li.z'a.re	e	fertilizări	fer.ti.li.z'ări	i	125912	125914	^/^ f/f e/e r/r t/t i/i l/l i/i z/z 'a/'ă r/r $/$
8890	saxon	sa.x'on		saxoni	sa.x'oni	i	262139	262140	^/^ s/s a/a x/x 'o/'o n/n $/$
8891	canon	ca.n'on		canoane	ca.no'a.ne	e	58054	58051	^/^ c/c a/a n/n 'o/o'a n/n $/$
8892	argintărie	ar.gin.tă.r'i.e	e	argintării	ar.gin.tă.r'ii	i	35872	35874	^/^ a/a r/r g/g i/i n/n t/t ă/ă r/r 'i/'i $/$
8893	rememorare	re.me.mo.r'a.re	e	rememorări	re.me.mo.r'ări	i	250070	250113	^/^ r/r e/e m/m e/e m/m o/o r/r 'a/'ă r/r $/$
8894	plezir	ple.z'ir		pleziruri	ple.z'i.ruri	uri	221773	221776	^/^ p/p l/l e/e z/z 'i/'i r/r $/$
8895	algă	'al.gă	ă	alge	'al.ge	e	26550	26514	^/^ 'a/'a l/l g/g $/$
8896	copil	co.p'il		copii	co.p'ii	i	80346	80287	^/^ c/c o/o p/p 'i/'i l/0 $/$
8897	lider	l'i.der		lideri	l'i.deri	i	165931	165938	^/^ l/l 'i/'i d/d e/e r/r $/$
8898	mujdei	muj.d'ei		mujdeie	muj.d'e.ie	e	183170	183171	^/^ m/m u/u j/j d/d 'e/'e i/i $/$
8899	crâsnic	cr'âs.nic		crâsnice	cr'âs.ni.ce	e	84719	84720	^/^ c/c r/r 'â/'â s/s n/n i/i c/c $/$
8900	crâsnic	cr'âs.nic		crâsnici	cr'âs.nici	i	84719	84723	^/^ c/c r/r 'â/'â s/s n/n i/i c/c $/$
8901	coromâslă	co.ro.m'âs.lă	ă	coromâsle	co.ro.m'âs.le	e	81242	81236	^/^ c/c o/o r/r o/o m/m 'â/'â s/s l/l $/$
8902	emigrare	e.mi.gr'a.re	e	emigrări	e.mi.gr'ări	i	115443	115481	^/^ e/e m/m i/i g/g r/r 'a/'ă r/r $/$
8903	brebenoc	bre.be.n'oc		brebenoci	bre.be.n'oci	i	51521	51522	^/^ b/b r/r e/e b/b e/e n/n 'o/'o c/c $/$
8904	practicant	prac.ti.c'ant		practicanți	prac.ti.c'anți	i	227000	227003	^/^ p/p r/r a/a c/c t/t i/i c/c 'a/'a n/n t/ț $/$
8905	cartilaj	car.ti.l'aj		cartilaje	car.ti.l'a.je	e	59652	59653	^/^ c/c a/a r/r t/t i/i l/l 'a/'a j/j $/$
8906	comisar	co.mi.s'ar		comisari	co.mi.s'ari	i	71377	71378	^/^ c/c o/o m/m i/i s/s 'a/'a r/r $/$
8907	codruț	co.dr'uț		codruți	co.dr'uți	i	69443	69445	^/^ c/c o/o d/d r/r 'u/'u ț/ț $/$
8908	sătmărean	săt.mă.re'an		sătmăreni	săt.mă.r'eni	i	260395	260408	^/^ s/s ă/ă t/t m/m ă/ă r/r e'a/'e n/n $/$
8909	ghinionist	ghi.ni.o.n'ist		ghinioniști	ghi.ni.o.n'iști	i	136563	136566	^/^ g/g h/h i/i n/n i/i o/o n/n 'i/'i s/ș t/t $/$
8910	mongolă	mon.g'o.lă	ă	mongole	mon.g'o.le	e	181463	181439	^/^ m/m o/o n/n g/g 'o/'o l/l $/$
8911	eminență	e.mi.n'en.ță	ă	eminențe	e.mi.n'en.țe	e	115510	115501	^/^ e/e m/m i/i n/n 'e/'e n/n ț/ț $/$
8912	invocare	in.vo.c'a.re	e	invocări	in.vo.c'ări	i	157892	157937	^/^ i/i n/n v/v o/o c/c 'a/'ă r/r $/$
8913	june	j'u.ne	e	juni	j'uni	i	161614	161637	^/^ j/j 'u/'u n/n $/$
8914	infestare	in.fes.t'a.re	e	infestări	in.fes.t'ări	i	151300	151342	^/^ i/i n/n f/f e/e s/s t/t 'a/'ă r/r $/$
8915	casieră	ca.si.'e.ră	ă	casiere	ca.si.'e.re	e	59887	59869	^/^ c/c a/a s/s i/i 'e/'e r/r $/$
8916	lambriu	lam.br'iu	u	lambriuri	lam.br'i.uri	uri	163387	163391	^/^ l/l a/a m/m b/b r/r 'i/'i $/$
8917	față	f'a.ță	ă	fețe	f'e.țe	e	123387	124999	^/^ f/f 'a/'e ț/ț $/$
8918	gladiș	gl'a.diș		gladiși	gl'a.diși	i	137127	137128	^/^ g/g l/l 'a/'a d/d i/i ș/ș $/$
8919	difuzor	di.fu.z'or		difuzoare	di.fu.zo'a.re	e	104923	104920	^/^ d/d i/i f/f u/u z/z 'o/o'a r/r $/$
8920	difuzor	di.fu.z'or		difuzori	di.fu.z'ori	i	104923	104924	^/^ d/d i/i f/f u/u z/z 'o/'o r/r $/$
8921	trompetă	trom.p'e.tă	ă	trompete	trom.p'e.te	e	296864	296859	^/^ t/t r/r o/o m/m p/p 'e/'e t/t $/$
8922	șunt	ș'unt		șunturi	ș'un.turi	uri	3116	3120	^/^ ș/ș 'u/'u n/n t/t $/$
8923	cișmea	ciș.me'a		cișmele	ciș.m'e.le	le	64577	64586	^/^ c/c i/i ș/ș m/m e'a/'e $/$
8924	pont	p'ont		ponți	p'onți	i	224432	224316	^/^ p/p 'o/'o n/n t/ț $/$
8925	pont	p'ont		ponturi	p'on.turi	uri	224432	224501	^/^ p/p 'o/'o n/n t/t $/$
8926	vibrafon	vi.bra.f'on		vibrafoane	vi.bra.fo'a.ne	e	306049	306046	^/^ v/v i/i b/b r/r a/a f/f 'o/o'a n/n $/$
8927	carpocapsă	car.po.c'ap.să	ă	carpocapse	car.po.c'ap.se	e	59542	59536	^/^ c/c a/a r/r p/p o/o c/c 'a/'a p/p s/s $/$
8928	premier	pre.mi.'er		premieri	pre.mi.'eri	i	229369	229379	^/^ p/p r/r e/e m/m i/i 'e/'e r/r $/$
8929	comercializare	co.mer.ci.a.li.z'a.re	e	comercializări	co.mer.ci.a.li.z'ări	i	71246	71290	^/^ c/c o/o m/m e/e r/r c/c i/i a/a l/l i/i z/z 'a/'ă r/r $/$
8930	hidrat	hi.dr'at		hidrați	hi.dr'ați	i	142323	142301	^/^ h/h i/i d/d r/r 'a/'a t/ț $/$
8931	dans	d'ans		dansuri	d'an.suri	uri	89346	89404	^/^ d/d 'a/'a n/n s/s $/$
